ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำเครื่องเรือนและเครื่องใช้จากไม้,จตุจักร,3700,ประชาชื่น,-, -   ,10100100425459, 30 ,กรุงเทพมหานคร,18,14/18-19, 215.64 ,3-37-4/45,45,ลาดยาว,บริษัท ศรีไทยคลาสสิคโฮม จำกัด,211,บริษัท ศรีไทยคลาสสิคโฮม จำกัด,3,10900
ทำเครื่องเรือนเครื่องใช้จากไม้,จตุจักร,3700,งามวงศ์วาน,-, -   ,100200325379, 13 ,กรุงเทพมหานคร,,33/2, 105.69 ,ศ3-37-3/37,37,ลาดยาว,เรือนจำกลางคลองเปรม,212,เรือนจำกลางคลองเปรม,3,10900
พิมพ์หนังสือพิมพ์,จตุจักร,4101,วิภาวดีรังสิต,เฉยพ่วง," 4,000.00 ",10100000425294," 1,009 ",กรุงเทพมหานคร,,1/4," 42,536.28 ",3-41(1)-4/29,29,ลาดยาว,หนังสือพิมพ์รายวันไทยรัฐ,213,หนังสือพิมพ์รายวันไทยรัฐ,3,10900
พิมพ์หนังสือ และสิ่งพิมพ์ต่างๆ,จตุจักร,4101,งามวงศ์วาน,, 16.80 ,10100200825525, 45 ,กรุงเทพมหานคร,,79, 84.45 ,3-41(1)-8/52,52,ลาดยาว,โรงพิมพ์ชุมนุมสหกรณ์การเกษตรแห่งประเทศไทย จำกัด,214,โรงพิมพ์ชุมนุมสหกรณ์การเกษตรแห่งประเทศไทย จำกัด,3,10900
พิมพ์หนังสือพิมพ์ ,จตุจักร,4101,เทศบาลนฤมาล,, 763.95 ,10100000725362, 199 ,กรุงเทพมหานคร,,12, 829.30 ,3-41(1)-7/36,36,ลาดยาว,บริษัท มติชน จำกัด (มหาชน),215,บริษัท มติชน จำกัด (มหาชน),3,10900
พิมพ์สิ่งพิมพ์ต่าง ๆ,จตุจักร,4101,วิภาวดีรังสิต,โชคชัยร่วมมิตร, 150.00 ,10100001325394, 37 ,กรุงเทพมหานคร,,19/19, 361.99 ,3-41(1)-13/39,39,จอมพล,บริษัท สยามเอ็มแอนด์บี พับลิชชิ่ง จำกัด,216,บริษัท สยามเอ็มแอนด์บี พับลิชชิ่ง จำกัด,3,10900
พิมพ์สิ่งพิมพ์ต่าง ๆ เช่น นิตยสาร ข่าวสาร,จตุจักร,4101,วิภาวดีรังสิต,ร่วมศิริมิตร, 50.00 ,10100001425376, 25 ,กรุงเทพมหานคร,,1032/204-207, 218.30 ,3-41(1)-14/37,37,ลาดยาว,บริษัท พี.เอ. พริ้นท์ติ้ง เฮ้าส์ จำกัด,217,บริษัท พี.เอ. พริ้นท์ติ้ง เฮ้าส์ จำกัด,3,10900
พิมพ์สิ่งพิมพ์ต่าง ๆ,จตุจักร,4101,เทศบาลสงเคราะห์,ชิดชม, 95.00 ,10100002925382, 125 ,กรุงเทพมหานคร,,9/11," 1,641.30 ",3-41(1)-29/38,38,ลาดยาว,บริษัท ฐานการพิมพ์ จำกัด,218,บริษัท ฐานการพิมพ์ จำกัด,3,10900
ผลิตสีที่ใช้ในงานอุตสาหกรรมละตรวจสอบวิเคราะห์คุณภาพสีอุตสาหกรรม,จตุจักร,4501,พหลโยธิน,เสนานิคม 1, 85.00 ,10100500525536, 54 ,กรุงเทพมหานคร,,312, 95.26 ,3-45(1)-5/53,53,จันทรเกษม,บริษัท อีซึ่น แอนด์ โค จำกัด (มหาชน),219,บริษัท อีซึ่น แอนด์ โค จำกัด (มหาชน),3,10900
ผลิตยารักษาโรคแผนปัจจุบัน,จตุจักร,4601,พหลโยธิน,ศิริสยาม, 1.00 ,10100400125148, 143 ,กรุงเทพมหานคร,6,1899," 2,689.16 ",3-46(1)-1/14,14,ลาดยาว,บริษัท อินเตอร์ไทย ฟาร์มาซูติเคิ้ล แมนูแฟคเจอริ่ง จำกัด,220,บริษัท อินเตอร์ไทย ฟาร์มาซูติเคิ้ล แมนูแฟคเจอริ่ง จำกัด,3,10900
ผลิตยารักษาโรคแผนปัจจุบัน,จตุจักร,4601,วิภาวดีรังสิต,โชคชัยร่วมมิตร, 32.16 ,10100000525176, 120 ,กรุงเทพมหานคร,,123," 4,000.00 ",3-46(1)-5/17,17,จอมพล,บริษัท สยามเภสัช จำกัด,221,บริษัท สยามเภสัช จำกัด,3,10900
ผลิตยารักษาโรคแผนปัจจุบัน ,จตุจักร,4602,พหลโยธิน,เฉลิมสุข, 8.60 ,10100100225180, 129 ,กรุงเทพมหานคร,,21/1-2," 1,011.72 ",3-46(2)-2/18,18,จันทรเกษม,บริษัท เวสโก ฟาร์มาซูติคอล จำกัด,222,บริษัท เวสโก ฟาร์มาซูติคอล จำกัด,3,10900
ผลิตยารักษาโรคแผนปัจจุบัน,จตุจักร,4602,,พหลโยธิน 32, 18.40 ,10100500125287, 22 ,กรุงเทพมหานคร,,77/37, 346.41 ,3-46(2)-1/28,28,จันทรเกษม,บริษัท โฟร์ตี้ทู สยามเมดิแคร์ จำกัด,223,บริษัท โฟร์ตี้ทู สยามเมดิแคร์ จำกัด,3,10900
"ผลิตยารักษาโรคแผนปัจจุบัน (ยาผง), ผลิตยาหม่อง",จตุจักร,4602,ลาดพร้าว,ลาดพร้าว 23, 76.28 ,10100200625198, 19 ,กรุงเทพมหานคร,,9/19, 119.81 ,3-46(2)-6/19,19,จันทรเกษม,บริษัท สมจิตต์โอสถ จำกัด,224,บริษัท สมจิตต์โอสถ จำกัด,3,10900
ผลิตยารักษาโรคแผนปัจจุบัน,จตุจักร,4602,พหลโยธิน,เฉลิมสุข, 1.20 ,10100700125137, 24 ,กรุงเทพมหานคร,,30, 87.69 ,3-46(2)-1/13,13,ลาดยาว,ห้างหุ้นส่วนจำกัด สุพงษ์เภสัช,225,ห้างหุ้นส่วนจำกัด สุพงษ์เภสัช,3,10900
ทำผลิตภัณฑ์พลาสติกต่าง ๆ เช่น ของใช้ และของเด็กเล่น,จตุจักร,5301,ลาดพร้าว,ลาดพร้าว 35 (สุภาพงษ์), 10.25 ,10100005725326, 36 ,กรุงเทพมหานคร,,61/41," 1,228.18 ",3-53(1)-57/32,32,ลาดยาว,บริษัท เจริญถาวรพลาสติก จำกัด,226,บริษัท เจริญถาวรพลาสติก จำกัด,3,10900
ทำส้นรองเท้าพลาสติก,จตุจักร,5307,,วิภาวดีรังสิต 17, 0.70 ,10100700225325, 2 ,กรุงเทพมหานคร,,7/8, 90.48 ,3-53(7)-2/32,32,,บริษัท ไทยรวมนิว จำกัด,227,บริษัท ไทยรวมนิว จำกัด,3,
ทำผลิตภัณฑ์คอนกรีตและวัสดุก่อสร้าง,จตุจักร,5801,พหลโยธิน,พหลโยธิน 28, 10.00 ,10100014625566, 20 ,กรุงเทพมหานคร,,45/2, 93.50 ,3-58(1)-146/56,56,ลาดยาว,ยูนิคอนคอนกรีตโปรดักส์,228,ยูนิคอนคอนกรีตโปรดักส์,3,10900
ทำประตู หน้าต่าง เหล็กดัด,จตุจักร,6302,ลาดพร้าว,ลาดพร้าว 35, 0.28 ,10100400725517, 14 ,กรุงเทพมหานคร,,20/1, 99.00 ,3-63(2)-7/51,51,จันทรเกษม,นายอภิชาติ วีระสกุลวงศ์,229,,3,10900
อัดเศษโลหะ,จตุจักร,6411,รัชดาภิเษก,เสือใหญ่อุทิศ, 3.50 ,10100300425523, 4 ,กรุงเทพมหานคร,,20/224, 241.50 ,3-64(11)-4/52,52,จันทรเกษม,บริษัท พัฒนะ เจริญสตีล จำกัด,230,บริษัท พัฒนะ เจริญสตีล จำกัด,3,10900
ซ่อมรถแทรคเตอร์ ซ่อมอุปกรณ์เครื่องทุ่นแรงทางเกษตรอื่น ๆ,จตุจักร,6600,วิภาวดีรังสิต,, 168.77 ,10101400125179, 10 ,กรุงเทพมหานคร,9,1081, 459.53 ,3-66-1/17,17,ลาดยาว,บริษัท มหวัฒนายนต์ จำกัด ,231,บริษัท มหวัฒนายนต์ จำกัด ,3,10900
