ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ผลิตอาหารเสริมชนิดมอลท์สกัดปรุงแต่งและผลิตมอลท์สกัด,พระประแดง,1203,การทำโกโก้ผง หรือขนมจากโกโก้,ปู่เจ้าสมิงพราย,วัดสวนส้ม,110000000000,309.650778,367,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,10,89/5,18888.09,2532,สำโรงใต้,ส3-12(3)-1/32สป,บริษัท เอบี ฟู้ด แอนด์ เบฟเวอร์เรจส์ (ประเทศไทย) จำกัด,46,บริษัท เอบี ฟู้ด แอนด์ เบฟเวอร์เรจส์ (ประเทศไทย) จำกัด,3,10130
ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น ไส้กรอก แฮม เบคอ,บางเสาธง,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,เทพารักษ์ กม.20.5,,110000000000,339.05,301,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,1,209,3707.15,2536,บางเสาธง,ศ3-4(3)-1/36สป,บริษัท จี เอฟ ฟูดส์ จำกัด,47,บริษัท จี เอฟ ฟูดส์ จำกัด,3,10570
ทำปลาป่น กำลังการผลิต 20 ตัน/วัน,เมืองสมุทรปราการ,1502,การป่นหรือบดพืช เมล็ดพืช กากพืช เนื้อสัตว์ กระดูกสัตว์ ขนสัตว์ หรือเปลือกหอย,ท้ายบ้าน,เจ็กบัง,110000000000,2.1,10,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,14,180,885.88,2536,ท้ายบ้าน,ศ3-15(2)-2/36สป,นางจู บุญเปล่ง,48,จุมพลโภคภัณฑ์พานิช,3,10280
ผลิตอาหารสัตว์ (สารผสมล่วงหน้าและอาหารเสริม),บางเสาธง,1501,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,เทพารักษ์ กม.22,,110000000000,19,15,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,16,164,378.5,2535,บางเสาธง,ศ3-15(1)-3/35สป,บริษัท แอ๊ดว้านซ์ฟาร์ม่า จำกัด,49,บริษัท แอ๊ดว้านซ์ฟาร์ม่า จำกัด,3,10570
ทำขนมปัง ข้าวโพด ข้าวอบกรอบ ช็อคโกแลต และลูกกวาด ทำขนมปังอบกรอบ ผลิตภัณฑ์อาหารที่ทำจากธัญพืช,เมืองสมุทรปราการ,1002,การทำขนมปังกรอบ หรือขนมอบแห้ง,สุขุมวิท,,110000000000,118,120,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,3,44/93,4061.3,2535,ท้ายบ้านใหม่,ศ3-10(2)-1/35สป,บริษัท ยูโรเปี้ยนสแนคฟู้ด จำกัด,50,บริษัท ยูโรเปี้ยนสแนคฟู้ด จำกัด,3,10280
ผลิตอาหารสัตว์,พระสมุทรเจดีย์,1501,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,สุขสวัสดิ์,วัดแค,110000000000,27,43,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,4,163,1339,2534,ปากคลองบางปลากด,ศ3-15(1)-2/34สป,บริษัท ไทยสมพรการเกษตร จำกัด,51,บริษัท ไทยสมพรการเกษตร จำกัด,3,10290
ผลิตชิ้นส่วนหรืออุปกรณ์สำหรับจักรยาน,พระประแดง,7802,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับจักรยานยนต์ จักรยานสามล้อ หรือจักรยานสองล้อ,ปู่เจ้าสมิงพราย,,111000000000,0,260,3,อุตสาหกรรมยานยนต์,สมุทรปราการ,15,51/6,1948.22,2532,บางหญ้าแพรก,ส3-78(2)-1/32สป,บริษัท ยูเนียนออโตพาร์ทส มานูแฟคเชอริ่ง จำกัด,52,บริษัท ยูเนียนออโตพาร์ทส มานูแฟคเชอริ่ง จำกัด,3,10130
ผลิตหรือประกอบผลิตภัณฑ์อิเลคทรอนิคส์ (Intergrated Circuit),ปากเกร็ด,6900,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องคำนวณ เครื่องทำบัญชี หรือเครื่องอิเล็กทรอนิกส์,แจ้งวัฒนะ,,120000000000,1987,1033,9,อุตสาหกรรมดิจิตอล,นนทบุรี,4,229,23375.4,2533,ปากเกร็ด,ส3-69-1/33นบ,บริษัท คาร์เซม เซมิคอนดักเตอร์ (แบงค็อก) จำกัด,53,บริษัท คาร์เซม เซมิคอนดักเตอร์ (แบงค็อก) จำกัด,3,11120
ผลิตแป้งมันสำปะหลังสำเร็จรูป (MODIFIED STARCH),ลาดหลุมแก้ว,905,การผสมแป้งหรือเมล็ดพืช,ปทุมธานี-ลาดหลุมแก้ว,-,130000000000,185,139,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,11,38/6,31159.72,2530,คูบางหลวง,ส3-9(5)-1/30ปท,บริษัท สยาม มอดิฟายด์ สตาร์ช จำกัด,54,บริษัท สยาม มอดิฟายด์ สตาร์ช จำกัด,3,12140
ผลิตไก่ชำแหละแช่แข็ง,ลำลูกกา,401,การฆ่าสัตว์,ลำลูกกา,,130000000000,106.611629,1488,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,7,34/1,8237.12,2534,บึงคำพร้อย,ศ3-4(1)-1/34ปท,บริษัท ไทสัน โพลทรี่ (ไทยแลนด์) จำกัด,55,บริษัท ไทสัน โพลทรี่ (ไทยแลนด์) จำกัด,3,12150
ทำขนมถั่วกรอบ ผลิตอาหารสำเร็จรูปจากเมล็ดพืช หรือหัวพืช,คลองหลวง,904,การผลิตอาหารสำเร็จรูปจากเมล็ดพืชหรือหัวพืช,พหลโยธิน กม.46,นวนคร,130000000000,44.876992,78,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,20,101/47/11,3237.92,2534,คลองหนึ่ง,ศ3-9(4)-3/34ปท,บริษัท บีบี จำกัด,56,บริษัท บีบี จำกัด,3,12120
ทำสบู่ วัสดุสังเคราะห์สำหรับซักฟอก แชมภู ผลิตภัณฑ์สำหรับโกนหนวด หรือผลิตภัณฑ์สำหรับชำระล้างหรือขัดถู เกี่ยวกับเคมีอย่างใดอย่างหนึ่งหรือหลายอย่าง เช่น น้ำยา หรือผงหรือผงเคมีครีม หรือใยทำความสะอาดพื้น ผนัง ห้องครัว ห้องน้ำ หรือสุขภัณฑ์ การทำยาฆ่าเชื้อโรค หรือยาดับกลิ่น การทำครามหรือวัสดุฟอกขาวที่ใช้ในการซักผ้า โดยใช้เครื่องจักรชุดเดิม,บางพลี,4703,การทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย,เทพารักษ์,ธนสิทธิ์,111000000000,45,393,10,อุตสาหกรรมท่องเที่ยวสุขภาพ,สมุทรปราการ,11,84/55,1114.49,2533,บางปลา,ศ3-47(3)-1/33สป,บริษัท ไมลอทท์แลบบอราทอรีส์ จำกัด,57,บริษัท ไมลอทท์แลบบอราทอรีส์ จำกัด,3,10540
"ผลิตหม้อน้ำรถยนต์, Heater และ Air cooler สำหรับรถยนต์ Evapereter และ Cil cocler สำหรับเครื่องปรับอากาศรถยนต์",บางพลี,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,กิ่งแก้ว,,111000000000,850,555,3,อุตสาหกรรมยานยนต์,สมุทรปราการ,14,46086,1195.45,2534,ราชาเทวะ,ส3-77(2)-1/34สป,บริษัท ซีเอชเรดิเอเตอร์ จำกัด,58,บริษัท ซีเอชเรดิเอเตอร์ จำกัด,3,10540
ผลิตเครื่องสำอางและเคมีภัณฑ์ในครัวเรือน และผลิตกล่องกระดาษ,สะพานสูง,4703,การทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย,,กรุงเทพกรีฑา 37,101000000000,49,50,10,อุตสาหกรรมท่องเที่ยวสุขภาพ,กรุงเทพมหานคร,,16,436.7,2533,ทับช้าง,ศ3-47(3)-1/33,บริษัท ที.ที.คาร์ทัน จำกัด,59,บริษัท ที.ที.คาร์ทัน จำกัด,3,10250
ผลิตเบาะรถยนต์ และรถจักรยานยนต์จากฟองน้ำวิทยาศาสตร์,หนองแขม,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,,มาเจริญ 1,101000000000,552.8,227,3,อุตสาหกรรมยานยนต์,กรุงเทพมหานคร,,111,1704.8,2536,หนองค้างพลู,ศ3-77(2)-1/36,บริษัท ไอดับบลิวซีที จำกัด,60,บริษัท ไอดับบลิวซีที จำกัด,3,10160
คั่ว บดกาแฟและทำกาแฟน้ำ,บางบ่อ,1202,การคั่ว บด หรือป่นกาแฟ หรือการทำกาแฟผง,สายเลี่ยงเมือง,,110000000000,10.586,5,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,1,146/2,663.5,2532,บางเพรียง,ศ3-12(2)-1/32สป,บริษัท เกร็ท ค๊อฟฟี่อินดัสทรี จำกัด,61,บริษัท เกร็ท ค๊อฟฟี่อินดัสทรี จำกัด,3,10560
ทำสัตว์ทะเลเยือกแข็ง,เมืองสมุทรปราการ,602,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,ท้ายบ้าน,หาดอัมรา,110000000000,183.103,1070,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,2,591,3772.51,2534,ท้ายบ้าน,ศ3-6(2)-1/34สป,บริษัท บอร์เนียว โลจิสติกส์ จำกัด,62,บริษัท บอร์เนียว โลจิสติกส์ จำกัด,3,10280
