จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,จังหวัด,ประเภทแรงงาน,หน่วย
14851,237,2561,ลูกจ้างเอกชน,หญิง,กำแพงเพชร,แรงงานนอกระบบ,คน
218,238,2561,การรวมกลุ่ม,หญิง,กำแพงเพชร,แรงงานนอกระบบ,คน
355,239,2561,นายจ้าง,ชาย,ตาก,แรงงานในระบบ,คน
2213,240,2561,ประกอบธุรกิจส่วนตัว,ชาย,ตาก,แรงงานในระบบ,คน
743,241,2561,ช่วยธุรกิจครัวเรือน,ชาย,ตาก,แรงงานในระบบ,คน
13791,242,2561,ลูกจ้างรัฐบาล,ชาย,ตาก,แรงงานในระบบ,คน
23201,243,2561,ลูกจ้างเอกชน,ชาย,ตาก,แรงงานในระบบ,คน
307,244,2561,นายจ้าง,หญิง,ตาก,แรงงานในระบบ,คน
867,245,2561,ประกอบธุรกิจส่วนตัว,หญิง,ตาก,แรงงานในระบบ,คน
923,246,2561,ช่วยธุรกิจครัวเรือน,หญิง,ตาก,แรงงานในระบบ,คน
12228,247,2561,ลูกจ้างรัฐบาล,หญิง,ตาก,แรงงานในระบบ,คน
17165,248,2561,ลูกจ้างเอกชน,หญิง,ตาก,แรงงานในระบบ,คน
4148,249,2561,นายจ้าง,ชาย,ตาก,แรงงานนอกระบบ,คน
53518,250,2561,ประกอบธุรกิจส่วนตัว,ชาย,ตาก,แรงงานนอกระบบ,คน
27057,251,2561,ช่วยธุรกิจครัวเรือน,ชาย,ตาก,แรงงานนอกระบบ,คน
906,252,2561,ลูกจ้างรัฐบาล,ชาย,ตาก,แรงงานนอกระบบ,คน
17191,253,2561,ลูกจ้างเอกชน,ชาย,ตาก,แรงงานนอกระบบ,คน
1805,254,2561,นายจ้าง,หญิง,ตาก,แรงงานนอกระบบ,คน
36124,255,2561,ประกอบธุรกิจส่วนตัว,หญิง,ตาก,แรงงานนอกระบบ,คน
34078,256,2561,ช่วยธุรกิจครัวเรือน,หญิง,ตาก,แรงงานนอกระบบ,คน
591,257,2561,ลูกจ้างรัฐบาล,หญิง,ตาก,แรงงานนอกระบบ,คน
8546,258,2561,ลูกจ้างเอกชน,หญิง,ตาก,แรงงานนอกระบบ,คน
250,259,2561,การรวมกลุ่ม,หญิง,ตาก,แรงงานนอกระบบ,คน
901,260,2561,นายจ้าง,ชาย,สุโขทัย,แรงงานในระบบ,คน
3027,261,2561,ประกอบธุรกิจส่วนตัว,ชาย,สุโขทัย,แรงงานในระบบ,คน
400,262,2561,ช่วยธุรกิจครัวเรือน,ชาย,สุโขทัย,แรงงานในระบบ,คน
18555,263,2561,ลูกจ้างรัฐบาล,ชาย,สุโขทัย,แรงงานในระบบ,คน
29397,264,2561,ลูกจ้างเอกชน,ชาย,สุโขทัย,แรงงานในระบบ,คน
208,265,2561,นายจ้าง,หญิง,สุโขทัย,แรงงานในระบบ,คน
1865,266,2561,ประกอบธุรกิจส่วนตัว,หญิง,สุโขทัย,แรงงานในระบบ,คน
581,267,2561,ช่วยธุรกิจครัวเรือน,หญิง,สุโขทัย,แรงงานในระบบ,คน
15091,268,2561,ลูกจ้างรัฐบาล,หญิง,สุโขทัย,แรงงานในระบบ,คน
