ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,สถานภาพ,จังหวัด,หน่วย
59692,สำนักงานสถิติจังหวัดมหาสารคาม,126,2565,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
75658,สำนักงานสถิติจังหวัดมหาสารคาม,127,2565,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
33936,สำนักงานสถิติจังหวัดมหาสารคาม,128,2565,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
41722,สำนักงานสถิติจังหวัดมหาสารคาม,129,2565,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
20845,สำนักงานสถิติจังหวัดมหาสารคาม,130,2565,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
14118,สำนักงานสถิติจังหวัดมหาสารคาม,131,2565,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
6727,สำนักงานสถิติจังหวัดมหาสารคาม,132,2565,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
257375,สำนักงานสถิติจังหวัดมหาสารคาม,133,2565,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
88885,สำนักงานสถิติจังหวัดมหาสารคาม,134,2565,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
168490,สำนักงานสถิติจังหวัดมหาสารคาม,135,2565,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
73444,สำนักงานสถิติจังหวัดมหาสารคาม,136,2565,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
1786,สำนักงานสถิติจังหวัดมหาสารคาม,137,2565,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
71658,สำนักงานสถิติจังหวัดมหาสารคาม,138,2565,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
