_id,ปี,ชื่อโรงงาน,ชื่อเจ้าของ,ประกอบกิจการ,อำเภอ,จังหวัด
100,2565,บริษัท พี.เอฟ.ครีเอทีฟ ดีไซน์ จำกัด,บริษัท พี.เอฟ.ครีเอทีฟ ดีไซน์ จำกัด,ผลิตเครื่องเรือนจากไม้ เฟอร์นิเจอร์ โต๊ะ ตู้ เตียง เก้าอี้,บางละมุง,ชลบุรี
101,2565,บริษัท ไอเดียล ดีไซน์ แอนด์ คอนสตรัคชั่น จำกัด,บริษัท ไอเดียล ดีไซน์ แอนด์ คอนสตรัคชั่น จำกัด,ผลิตเฟอร์นิเจอร์จากไม้ เช่น ตู้เสื้อผ้า ตู้ครัว,บางละมุง,ชลบุรี
102,2565,นายวิชัย เพชรเจริญชัย,นายวิชัย เพชรเจริญชัย,ทำเครื่องเรือนเครื่องใช้ในบ้านเรือนจากไม้,บางละมุง,ชลบุรี
103,2565,บริษัท วู๊ดเพคเกอร์ คาร์เพนเทอรี่ จำกัด,บริษัท วู๊ดเพคเกอร์ คาร์เพนเทอรี่ จำกัด,ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคาร บานหน้าต่าง บานประตูจากไม้,บางละมุง,ชลบุรี
104,2565,บริษัท กนกเฟอร์นิเจอร์ แอนด์ เดคคอเรชั่น จำกัด,บริษัท กนกเฟอร์นิเจอร์ แอนด์ เดคคอเรชั่น จำกัด,โรงงานทำเครื่องเรือน หรือเครื่องตกแต่งภายในอาคารจากไม้,บางละมุง,ชลบุรี
105,2565,นายวิชัย เพชรเจริญชัย,นายวิชัย เพชรเจริญชัย,ทำเครื่องเรือนเครื่องใช้ในบ้านเรือนจากไม้,บางละมุง,ชลบุรี
106,2565,บริษัท เด็คส์เตอร์ อินดัสทรี จำกัด,บริษัท เด็คส์เตอร์ อินดัสทรี จำกัด,ทำเครื่องเรือนจากไม้,บ้านบึง,ชลบุรี
107,2565,บริษัท รอยัล มาสเตอร์ จำกัด,บริษัท รอยัล มาสเตอร์ จำกัด,ผลิตเฟอร์นิเจอร์จากไม้ยางพารา,บ้านบึง,ชลบุรี
108,2565,บริษัท ไทยซัมมิท สโตน จำกัด,บริษัท ไทยซัมมิท สโตน จำกัด,ทำเครื่องตบแต่งภายในอาคาร เช่น แผ่นพื้น แผ่นหน้าเคาน์ แผ่นโต๊ะ ฯลฯ,บ้านบึง,ชลบุรี
109,2565,บริษัท เชียง อี้ เทคโนโลยี กรุ๊ป จำกัด,บริษัท เชียง อี้ เทคโนโลยี กรุ๊ป จำกัด,ทำเครื่องเรือนหรือเครื่องตกแต่งภายในอาคารจากยาง เช่น ขอบประตู ขอบหน้าต่าง ขอบกันกระแทก,บ้านบึง,ชลบุรี
110,2565,บริษัท ชลบุรี ธนาคม จำกัด,บริษัท ชลบุรี ธนาคม จำกัด,ทำประดิษฐ์กรรมเครื่องเรือน แท่นรองรันสินค้าโดยใช้ไม้ยางพาราท่อนเป็นวัตถุดิบ,บ้านบึง,ชลบุรี
111,2565,บริษัท ไทย ที.เค.วู้ดเด้นทอยส์ จำกัด,บริษัท ไทย ที.เค.วู้ดเด้นทอยส์ จำกัด,ผลิตชิ้นส่วนเฟอร์นิเจอร์จากไม้,บ้านบึง,ชลบุรี
112,2565,บริษัท เนื่องจำนงค์ ริชวู๊ด จำกัด,บริษัท เนื่องจำนงค์ ริชวู๊ด จำกัด,ผลิตเครื่องครัวจากไม้ยางพาราแปรรูป,บ้านบึง,ชลบุรี
113,2565,บริษัท เหินฟง โฮม ลิฟวิ่ง เทคโนโลยี (ไทยแลนด์) จำกัด,บริษัท เหินฟง โฮม ลิฟวิ่ง เทคโนโลยี (ไทยแลนด์) จำกัด,ทำเครื่องเรือน เครื่องใช้จากไม้ เช่น พื้นไม้แปรรูป,บ้านบึง,ชลบุรี
114,2565,บริษัท นพรุจ รีไซเคิล จำกัด,บริษัท นพรุจ รีไซเคิล จำกัด,ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากยาง เช่น ยางรองขาโต๊ะ ยางรองขาเก้าอี้ ยางกันกระแทก แผ่นยางกันลื่น ยางโอริง,บ้านบึง,ชลบุรี
115,2565,นายจำนง เขตมินิต,นายจำนง เขตมินิต,ทำวงกบ ประตู หน้าต่าง เครื่องเรือนเครื่องใช้ในบ้านเรือน,บ้านบึง,ชลบุรี
116,2565,บริษัท เอ็ม เอส เอส พลาสติก จำกัด,บริษัท เอ็ม เอส เอส พลาสติก จำกัด,ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากยาง เช่น ขอบประตู หน้าต่าง ขอบกันกระแทก,บ้านบึง,ชลบุรี
117,2565,บริษัท แคชชวล โฮม (ไทยแลนด์) จำกัด,บริษัท แคชชวล โฮม (ไทยแลนด์) จำกัด,ผลิตเฟอร์นิเจอร์และชิ้นส่วนเฟอร์นิเจอร์จากไม้,บ้านบึง,ชลบุรี
