﻿year,sex,quarter,_id,region,value,unit,age_group,source
2567,1. ชาย,ไตรมาส 2,153,3) ภาคเหนือ,15.9,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,154,3) ภาคเหนือ,16.8,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,155,3) ภาคเหนือ,14.4,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,156,3) ภาคเหนือ,16.9,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,157,3) ภาคเหนือ,20.9,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,158,3) ภาคเหนือ,28.7,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,159,3) ภาคเหนือ,21.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,160,3) ภาคเหนือ,27.2,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,161,3) ภาคเหนือ,10.5,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,162,3) ภาคเหนือ,14.6,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,163,3) ภาคเหนือ,16.7,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,164,3) ภาคเหนือ,16.3,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,165,3) ภาคเหนือ,19.8,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,166,3) ภาคเหนือ,24.9,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,167,3) ภาคเหนือ,34.2,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,168,4) ภาคตะวันออกเฉียงเหนือ,20.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,169,4) ภาคตะวันออกเฉียงเหนือ,24.5,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,170,4) ภาคตะวันออกเฉียงเหนือ,19.3,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,171,4) ภาคตะวันออกเฉียงเหนือ,14.3,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,172,4) ภาคตะวันออกเฉียงเหนือ,16.2,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,173,4) ภาคตะวันออกเฉียงเหนือ,14.9,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,174,4) ภาคตะวันออกเฉียงเหนือ,18.1,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,175,4) ภาคตะวันออกเฉียงเหนือ,22.4,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,176,4) ภาคตะวันออกเฉียงเหนือ,31.6,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
