วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2569-11-22T00:00:00,41,GI(E) 3-245,บริษัท ยูไนเต็ดคอยด์เซ็นเตอร์ จำกัด,41,23/11/2566,ชลบุรี
2569-05-12T00:00:00,42,GI(E) 3-257,บริษัท วาลโบร (ประเทศไทย) จำกัด,42,06/12/2566,ชลบุรี
2569-05-12T00:00:00,43,GI(E) 3-260,บริษัท สยามสโตน แอ๊กกริเกรท จำกัด,43,06/12/2566,ชลบุรี
2569-05-12T00:00:00,44,GI(E) 3-265,บริษัท จีเอฟพีที นิชิเร (ประเทศไทย) จำกัด,44,06/12/2566,ชลบุรี
2569-07-12T00:00:00,45,GI(E) 3-271,บริษัท ไทยดีเอนทีเพนท์ จำกัด,45,08/12/2566,ชลบุรี
2569-11-12T00:00:00,46,GI(E) 3-274,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),46,12/12/2566,ชลบุรี
2569-12-13T00:00:00,47,GI(E) 3-276,บริษัท เสริมสุข เบเวอร์เรจ จำกัด,47,14/12/2566,ชลบุรี
2569-12-14T00:00:00,48,GI(E) 3-279,บริษัท ตั้งเซียะปิง โลหะกิจ จำกัด,48,15/12/2566,ชลบุรี
2569-12-20T00:00:00,49,GI(E) 3-289,บริษัท วินด์มิล สแครพ แอนด์ รีไซเคิล เซอร์วิส อินเตอร์เนชั่นแนล จำกัด,49,21/12/2566,ชลบุรี
2569-12-26T00:00:00,50,GI(E) 3-309,บริษัท โตโย คะโค (ประเทศไทย) จำกัด,50,27/12/2566,ชลบุรี
2570-10-01T00:00:00,51,GI(E) 3-328,ห้างหุ้นส่วนจำกัด ยูต้าอุตสาหกรรม,51,11/01/2567,ชลบุรี
2570-10-01T00:00:00,52,GI(E) 3-329,บริษัท เพาว์เวอร์ ยูต้า กรุ๊ป จำกัด,52,11/01/2567,ชลบุรี
2570-11-01T00:00:00,53,GI(E) 3-330,บริษัท ไทยโตไกคาร์บอนโปรดักท์ จำกัด,53,12/01/2567,ชลบุรี
2570-11-01T00:00:00,54,GI(E) 3-332,บริษัท คอยล์มาสเตอร์ อิเล็กทรอนิกส์ (ไทยแลนด์) จำกัด,54,12/01/2567,ชลบุรี
2570-01-15T00:00:00,55,GI(E) 3-333,บริษัท มูซาชิ เพ้นท์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,55,16/01/2567,ชลบุรี
2570-01-15T00:00:00,56,GI(E) 3-336,บริษัท ฉวีวรรณ อินเตอร์เนชั่นแนล ฟู๊ดส์ จำกัด,56,16/01/2567,ชลบุรี
2570-01-15T00:00:00,57,GI(E) 3-339,บริษัท โคบาเทค (ประเทศไทย) จำกัด,57,16/01/2567,ชลบุรี
2570-01-17T00:00:00,58,GI(E) 3-345,บริษัท เอเอสเอ คอร์รูเกท คอนเทนเนอร์ จำกัด,58,18/01/2567,ชลบุรี
2570-01-17T00:00:00,59,GI(E) 3-348,บริษัท ซากิโนมิยะ (ประเทศไทย) จำกัด,59,18/01/2567,ชลบุรี
2570-01-17T00:00:00,60,GI(E) 3-356,บริษัท ซี เอฟ พี จำกัด,60,18/01/2567,ชลบุรี
2570-01-17T00:00:00,61,GI(E) 3-357,บริษัท เอเค เมคานิคอล แอนด์ รีไซคลิง จำกัด,61,18/01/2567,ชลบุรี
2570-01-21T00:00:00,62,GI(E) 3-360,บริษัท ที.เอส.เค. ฟอร์จิ้ง จำกัด,62,22/01/2567,ชลบุรี
2570-01-21T00:00:00,63,GI(E) 3-362,บริษัท ซังโก กิกิ (ประเทศไทย) จำกัด,63,22/01/2567,ชลบุรี
2570-01-21T00:00:00,64,GI(E) 3-363,บริษัท คอสโม แมนูเฟคเจอริ่ง ( ประเทศไทย ) จำกัด,64,22/01/2567,ชลบุรี
2570-01-21T00:00:00,65,GI(E) 3-369,บริษัท ไทย แดริม พรีซิชั่น จำกัด,65,22/01/2567,ชลบุรี
2570-01-21T00:00:00,66,GI(E) 3-370,บริษัท ที.เอส.เค.ฟอร์จิ้ง จำกัด,66,22/01/2567,ชลบุรี
2570-01-21T00:00:00,67,GI(E) 3-371,บริษัท ที.เอส.เค.ฟอร์จิ้ง จำกัด,67,22/01/2567,ชลบุรี
