_id,ประเภทรถ,ปี,จำนวน,ชนิดเชื้อเพลิง
199,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2566,0,CNG สลับเบนซิน
200,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2566,1,CNG สลับเบนซิน
201,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2566,0,CNG สลับเบนซิน
202,รย. 4 รถยนต์สามล้อส่วนบุคคล,2566,0,CNG สลับเบนซิน
203,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2566,0,CNG สลับเบนซิน
204,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2566,0,CNG สลับเบนซิน
205,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2566,0,CNG สลับเบนซิน
206,รย. 8 รถยนต์รับจ้างสามล้อ,2566,0,CNG สลับเบนซิน
207,รย. 9 รถยนต์บริการธุรกิจ,2566,0,CNG สลับเบนซิน
208,รย. 10 รถยนต์บริการทัศนาจร,2566,0,CNG สลับเบนซิน
209,รย. 11 รถยนต์บริการให้เช่า,2566,0,CNG สลับเบนซิน
210,รย. 12 รถจักรยานยนต์,2566,0,CNG สลับเบนซิน
211,รย. 13 รถแทร็กเตอร์,2566,0,CNG สลับเบนซิน
212,รย. 14 รถบดถนน,2566,0,CNG สลับเบนซิน
213,รย. 15 รถใช้ในงานเกษตรกรรม,2566,0,CNG สลับเบนซิน
214,รย. 16 รถพ่วง,2566,0,CNG สลับเบนซิน
215,รย. 17 รถจักรยานยนต์สาธารณะ,2566,0,CNG สลับเบนซิน
216,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2566,0,CNG สลับเบนซิน
217,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2566,100,เบนซิน-ไฟฟ้า
218,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2566,0,เบนซิน-ไฟฟ้า
219,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2566,0,เบนซิน-ไฟฟ้า
220,รย. 4 รถยนต์สามล้อส่วนบุคคล,2566,0,เบนซิน-ไฟฟ้า
221,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2566,0,เบนซิน-ไฟฟ้า
222,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2566,0,เบนซิน-ไฟฟ้า
223,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2566,0,เบนซิน-ไฟฟ้า
224,รย. 8 รถยนต์รับจ้างสามล้อ,2566,0,เบนซิน-ไฟฟ้า
