จำนวนโรงงาน,_id,ปี,กลุ่มอุตสาหกรรม,อำเภอ
5,267,2566,ผลิตเครื่องจักรและเครื่องกล,เมืองปราจีนบุรี
12,268,2566,ผลิตเครื่องจักรและเครื่องกล,กบินทร์บุรี
0,269,2566,ผลิตเครื่องจักรและเครื่องกล,นาดี
0,270,2566,ผลิตเครื่องจักรและเครื่องกล,บ้านสร้าง
0,271,2566,ผลิตเครื่องจักรและเครื่องกล,ประจันตคาม
18,272,2566,ผลิตเครื่องจักรและเครื่องกล,ศรีมหาโพธิ
1,273,2566,ผลิตเครื่องจักรและเครื่องกล,ศรีมโหสถ
5,274,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,เมืองปราจีนบุรี
15,275,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,กบินทร์บุรี
0,276,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,นาดี
3,277,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,บ้านสร้าง
1,278,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ประจันตคาม
19,279,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ศรีมหาโพธิ
3,280,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ศรีมโหสถ
12,281,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,เมืองปราจีนบุรี
20,282,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,กบินทร์บุรี
0,283,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,นาดี
1,284,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,บ้านสร้าง
2,285,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ประจันตคาม
42,286,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ศรีมหาโพธิ
0,287,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ศรีมโหสถ
13,288,2566,การผลิตอื่นๆ,เมืองปราจีนบุรี
103,289,2566,การผลิตอื่นๆ,กบินทร์บุรี
19,290,2566,การผลิตอื่นๆ,นาดี
10,291,2566,การผลิตอื่นๆ,บ้านสร้าง
5,292,2566,การผลิตอื่นๆ,ประจันตคาม
112,293,2566,การผลิตอื่นๆ,ศรีมหาโพธิ
5,294,2566,การผลิตอื่นๆ,ศรีมโหสถ
