ประเภท,เนื้อที่สะสม,ภาค,รายละเอียด,_id,หน่วย,ปีเพาะปลูก,สภาพการเพาะปลูก,หมวดหมู่,จังหวัด,ลักษณะการใช้พื้นที่
พื้นที่ชลประทาน,164540,เหนือ,พื้นที่ชลประทาน,151,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,สุโขทัย,พื้นที่ชลประทาน
พื้นที่คาดการณ์,298281,เหนือ,พื้นที่คาดการณ์,152,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,พื้นที่คาดการณ์
นาปรัง,401673,เหนือ,ปลูก,153,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,ปลูก
นาปรัง 2,,เหนือ,ปลูก,154,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,ปลูก
นาปรัง,,เหนือ,เสียหาย,155,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,156,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,น้ำแล้ง
นาปรัง,,เหนือ,เสียหาย,157,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,158,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,159,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,160,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,"โรค,แมลง "
นาปรัง,401673,เหนือ,เก็บเกี่ยว,161,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,162,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,สุโขทัย,เก็บเกี่ยว
พื้นที่คาดการณ์,9499,เหนือ,พื้นที่คาดการณ์,163,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,สุโขทัย,พื้นที่คาดการณ์
พืชไร่,5480,เหนือ,ปลูก,164,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,สุโขทัย,ปลูก 
พืชผัก,123,เหนือ,ปลูก,165,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,สุโขทัย,ปลูก 
พื้นที่ชลประทาน,518113,เหนือ,พื้นที่ชลประทาน,166,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,นครสวรรค์,พื้นที่ชลประทาน
พื้นที่คาดการณ์,335313,เหนือ,พื้นที่คาดการณ์,167,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,พื้นที่คาดการณ์
นาปรัง,411415,เหนือ,ปลูก,168,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,ปลูก
นาปรัง 2,,เหนือ,ปลูก,169,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,ปลูก
นาปรัง,,เหนือ,เสียหาย,170,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,171,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,น้ำแล้ง
นาปรัง,,เหนือ,เสียหาย,172,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,173,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,174,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,175,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,นครสวรรค์,"โรค,แมลง "
