﻿year,quarter,industry,_id,region,value,unit,source
2564,ไตรมาสที่ 3,กิจกรรมอสังหาริมทรัพย์,150,ภาคเหนือ,10.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,151,ภาคเหนือ,36.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมการบริหารและการบริการสนับสนุน,152,ภาคเหนือ,32.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,153,ภาคเหนือ,314.5,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การศึกษา,154,ภาคเหนือ,177.0,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,155,ภาคเหนือ,135.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ศิลปะ ความบันเทิง และนันทนาการ,156,ภาคเหนือ,29.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมบริการด้านอื่น ๆ,157,ภาคเหนือ,111.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,158,ภาคเหนือ,24.0,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมขององค์การระหว่างประเทศ,159,ภาคเหนือ,0.6,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,กิจกรรมอสังหาริมทรัพย์,160,ภาคกลาง,76.5,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,161,ภาคกลาง,110.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,กิจกรรมการบริหารและการบริการสนับสนุน,162,ภาคกลาง,174.0,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,163,ภาคกลาง,443.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,การศึกษา,164,ภาคกลาง,328.2,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,165,ภาคกลาง,203.0,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,ศิลปะ ความบันเทิง และนันทนาการ,166,ภาคกลาง,76.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 4,กิจกรรมบริการด้านอื่น ๆ,167,ภาคกลาง,297.0,พันคน,สำนักงานสถิติแห่งชาติ
