จำนวน,_id,ปี,ระดับการศึกษา,เพศ,ไตรมาส,หน่วย
60352,219,2565,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
71345,220,2565,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 2,คน
53053,221,2565,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 2,คน
16899,222,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
,223,2565,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
29037,224,2565,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 2,คน
31124,225,2565,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 2,คน
2385,226,2565,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
-,227,2565,อื่น ๆ,       ชาย                         , ไตรมาสที่ 2,คน
222,228,2565,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 2,คน
2238,229,2565,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
17734,230,2565,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
41041,231,2565,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
56447,232,2565,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 2,คน
47025,233,2565,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 2,คน
9327,234,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
,235,2565,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
36813,236,2565,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 2,คน
17261,237,2565,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 2,คน
2550,238,2565,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 2,คน
-,239,2565,อื่น ๆ,       หญิง                        , ไตรมาสที่ 2,คน
,240,2565,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 2,คน
598,241,2565,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
18187,242,2565,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
66118,243,2565,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
62898,244,2565,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 3,คน
45880,245,2565,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 3,คน
17119,246,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
,247,2565,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
34421,248,2565,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 3,คน
36574,249,2565,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 3,คน
2090,250,2565,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 3,คน
-,251,2565,อื่น ๆ,       ชาย                         , ไตรมาสที่ 3,คน
1335,252,2565,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 3,คน
1788,253,2565,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
24587,254,2565,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
36375,255,2565,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
50048,256,2565,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 3,คน
47636,257,2565,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 3,คน
14931,258,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
,259,2565,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
34227,260,2565,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 3,คน
21125,261,2565,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 3,คน
7008,262,2565,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
-,263,2565,อื่น ๆ,       หญิง                        , ไตรมาสที่ 3,คน
,264,2565,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 3,คน
382,265,2565,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
22999,266,2565,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
61891,267,2565,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
88490,268,2565,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 4,คน
46862,269,2565,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 4,คน
15724,270,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
