พื้นที่เก็บเกี่ยว,ราคาหน้าฟาร์ม,หน่วย(บาท_ตัน),ครัวเรือนเกษตรกร,หน่วย(บาท),ปริมาณผลผลิต,_id,ปี,หน่วย(ไร่),หน่วย(ตัน),อำเภอ,มูลค่า,พืชเศรษฐกิจ,หน่วย(ครัวเรือน)
0,0,บาท_ตัน,0,ล้านบาท,0,135,2566,ไร่,ตัน,เมืองนครปฐม,0,บัวบก,ครัวเรือน
24200,7010,บาท_ตัน,1986,ล้านบาท,17424,136,2566,ไร่,ตัน,กำแพงแสน,122.14,ข้าว,ครัวเรือน
54865,1410,บาท_ตัน,1558,ล้านบาท,788410,137,2566,ไร่,ตัน,กำแพงแสน,0.56,อ้อยโรงงาน,ครัวเรือน
25.5,72360,บาท_ตัน,14,ล้านบาท,31,138,2566,ไร่,ตัน,กำแพงแสน,2.25,ส้มโอ,ครัวเรือน
95,23580,บาท_ตัน,47,ล้านบาท,322,139,2566,ไร่,ตัน,กำแพงแสน,7.59,ฝรั่ง,ครัวเรือน
259.5,11900,บาท_ตัน,100,ล้านบาท,637.3,140,2566,ไร่,ตัน,กำแพงแสน,7.58,มะพร้าวอ่อน,ครัวเรือน
379,13480,บาท_ตัน,45,ล้านบาท,635,141,2566,ไร่,ตัน,กำแพงแสน,8.55,คะน้า,ครัวเรือน
894,67870,บาท_ตัน,65,ล้านบาท,1480,142,2566,ไร่,ตัน,กำแพงแสน,100.46,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,143,2566,ไร่,ตัน,กำแพงแสน,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,144,2566,ไร่,ตัน,กำแพงแสน,0,บัวบก,ครัวเรือน
32680,7140,บาท_ตัน,1681,ล้านบาท,25131,145,2566,ไร่,ตัน,นครชัยศรี,179.44,ข้าว,ครัวเรือน
36,1200,บาท_ตัน,1,ล้านบาท,450,146,2566,ไร่,ตัน,นครชัยศรี,1111.66,อ้อยโรงงาน,ครัวเรือน
933,64730,บาท_ตัน,160,ล้านบาท,1255,147,2566,ไร่,ตัน,นครชัยศรี,81.22,ส้มโอ,ครัวเรือน
1465,18470,บาท_ตัน,379,ล้านบาท,6226,148,2566,ไร่,ตัน,นครชัยศรี,114.99,ฝรั่ง,ครัวเรือน
2410,8250,บาท_ตัน,641,ล้านบาท,14440,149,2566,ไร่,ตัน,นครชัยศรี,119.13,มะพร้าวอ่อน,ครัวเรือน
2630,23260,บาท_ตัน,105,ล้านบาท,5048,150,2566,ไร่,ตัน,นครชัยศรี,117.41,คะน้า,ครัวเรือน
2025,51460,บาท_ตัน,115,ล้านบาท,3935,151,2566,ไร่,ตัน,นครชัยศรี,202.47,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,152,2566,ไร่,ตัน,นครชัยศรี,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,153,2566,ไร่,ตัน,นครชัยศรี,0,บัวบก,ครัวเรือน
16084,7820,บาท_ตัน,1025,ล้านบาท,11597,154,2566,ไร่,ตัน,ดอนตูม,90.69,ข้าว,ครัวเรือน
20,1500,บาท_ตัน,2,ล้านบาท,242,155,2566,ไร่,ตัน,ดอนตูม,0.54,อ้อยโรงงาน,ครัวเรือน
78,69860,บาท_ตัน,12,ล้านบาท,146,156,2566,ไร่,ตัน,ดอนตูม,10.18,ส้มโอ,ครัวเรือน
57,20500,บาท_ตัน,23,ล้านบาท,172,157,2566,ไร่,ตัน,ดอนตูม,3.53,ฝรั่ง,ครัวเรือน
273,9470,บาท_ตัน,77,ล้านบาท,1476,158,2566,ไร่,ตัน,ดอนตูม,13.97,มะพร้าวอ่อน,ครัวเรือน
1206,14400,บาท_ตัน,210,ล้านบาท,2361,159,2566,ไร่,ตัน,ดอนตูม,34,คะน้า,ครัวเรือน
513,42570,บาท_ตัน,17,ล้านบาท,822.3,160,2566,ไร่,ตัน,ดอนตูม,35.01,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,161,2566,ไร่,ตัน,ดอนตูม,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,162,2566,ไร่,ตัน,ดอนตูม,0,บัวบก,ครัวเรือน
155686,8290,บาท_ตัน,7216,ล้านบาท,118788,163,2566,ไร่,ตัน,บางเลน,984.75,ข้าว,ครัวเรือน
45,1000,บาท_ตัน,2,ล้านบาท,563,164,2566,ไร่,ตัน,บางเลน,0.56,อ้อยโรงงาน,ครัวเรือน
167,67580,บาท_ตัน,14,ล้านบาท,119,165,2566,ไร่,ตัน,บางเลน,8.03,ส้มโอ,ครัวเรือน
251.5,20840,บาท_ตัน,59,ล้านบาท,906,166,2566,ไร่,ตัน,บางเลน,18.88,ฝรั่ง,ครัวเรือน
621,12840,บาท_ตัน,175,ล้านบาท,2041,167,2566,ไร่,ตัน,บางเลน,26.2,มะพร้าวอ่อน,ครัวเรือน
1516,19420,บาท_ตัน,116,ล้านบาท,2828,168,2566,ไร่,ตัน,บางเลน,54.92,คะน้า,ครัวเรือน
3589,62030,บาท_ตัน,159,ล้านบาท,8368,169,2566,ไร่,ตัน,บางเลน,519.04,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,170,2566,ไร่,ตัน,บางเลน,0,ขมิ้นชัน,ครัวเรือน
402,17320,บาท_ตัน,246,ล้านบาท,2376.3,171,2566,ไร่,ตัน,บางเลน,41.16,บัวบก,ครัวเรือน
5717,7390,บาท_ตัน,330,ล้านบาท,4208,172,2566,ไร่,ตัน,สามพราน,31.1,ข้าว,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,173,2566,ไร่,ตัน,สามพราน,0,อ้อยโรงงาน,ครัวเรือน
2918,72500,บาท_ตัน,717,ล้านบาท,3172,174,2566,ไร่,ตัน,สามพราน,229.94,ส้มโอ,ครัวเรือน
4859,27340,บาท_ตัน,1230,ล้านบาท,21282,175,2566,ไร่,ตัน,สามพราน,581.85,ฝรั่ง,ครัวเรือน
5702,10080,บาท_ตัน,1615,ล้านบาท,18972,176,2566,ไร่,ตัน,สามพราน,191.24,มะพร้าวอ่อน,ครัวเรือน
22,22610,บาท_ตัน,6,ล้านบาท,23,177,2566,ไร่,ตัน,สามพราน,0.52,คะน้า,ครัวเรือน
2003,50060,บาท_ตัน,264,ล้านบาท,4604,178,2566,ไร่,ตัน,สามพราน,230.5,กล้วยไม้ตัดดอก,ครัวเรือน
