VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
2974.69,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,191,ชาย,พันคน,กรุงเทพมหานคร,2567
2745.26,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,192,หญิง,พันคน,กรุงเทพมหานคร,2567
7178.88,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,193,ชาย,พันคน,ภาคกลาง,2567
6270.75,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,194,หญิง,พันคน,ภาคกลาง,2567
3352.29,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,195,ชาย,พันคน,ภาคเหนือ,2567
2834.86,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,196,หญิง,พันคน,ภาคเหนือ,2567
5124.16,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,197,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
4343.36,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,198,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
2922.84,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,199,ชาย,พันคน,ภาคใต้,2567
2359.07,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,200,หญิง,พันคน,ภาคใต้,2567
2975.76,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,201,ชาย,พันคน,กรุงเทพมหานคร,2568
2765.69,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,202,หญิง,พันคน,กรุงเทพมหานคร,2568
5005.12,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,203,ชาย,พันคน,ภาคกลาง,2568
4476.11,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,204,หญิง,พันคน,ภาคกลาง,2568
2394.92,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,205,ชาย,พันคน,ภาคใต้,2568
1988.62,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,206,หญิง,พันคน,ภาคใต้,2568
555.17,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,207,ชาย,พันคน,ภาคใต้ชายแดน,2568
418.22,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,208,หญิง,พันคน,ภาคใต้ชายแดน,2568
2168.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,209,ชาย,พันคน,ภาคตะวันออก,2568
1816.59,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,210,หญิง,พันคน,ภาคตะวันออก,2568
4827.79,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,211,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2568
3962.97,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,212,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2568
3220.14,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,213,ชาย,พันคน,ภาคเหนือ,2568
